"namespace","ca","ce","instability","abstractness","distance"
"general.options",1,1,0.5,0.07692307692307693,0.42307692307692313
"output",14,3,0.17647058823529413,0.2,0.6235294117647059
"structures.metrics",9,2,0.18181818181818182,0.0,0.8181818181818181
"utils",5,0,0.0,0.0,1.0
"parser.java.visitors",1,3,0.75,0.0,0.25
"structures.results",10,3,0.23076923076923078,0.0,0.7692307692307692
"structures",6,0,0.0,1.0,0.0
"general",1,6,0.8571428571428571,0.0,0.1428571428571429
"main",0,2,1.0,0.0,0.0
"parser.java",1,3,0.75,0.0,0.25
"parser",2,0,0.0,1.0,0.0
